iter	Passed	Remaining
0	344	344567
1	612	305497
2	903	300236
3	1172	291829
4	1425	283633
5	1664	275729
6	1910	271057
7	2155	267272
8	2413	265758
9	2671	264505
10	2922	262716
11	3174	261405
12	3434	260773
13	3703	260853
14	3982	261547
15	4229	260133
16	4475	258807
17	4727	257926
18	4981	257185
19	5234	256491
20	5494	256140
21	5737	255073
22	5993	254583
23	6254	254335
24	6503	253648
25	6794	254521
26	7059	254396
27	7309	253734
28	7559	253107
29	7810	252540
30	8064	252092
31	8316	251571
32	8575	251291
33	8851	251491
34	9114	251311
35	9384	251286
36	9650	251161
37	9931	251422
38	10206	251507
39	10461	251067
40	10723	250834
41	10984	250544
42	11240	250169
43	11518	250269
44	11772	249838
45	12039	249678
46	12301	249424
47	12561	249144
48	12854	249489
49	13125	249392
50	13393	249231
51	13630	248491
52	13904	248444
53	14165	248161
54	14442	248144
55	14709	247960
56	14969	247658
57	15233	247405
58	15514	247447
59	15814	247758
60	16063	247265
61	16322	246938
62	16595	246829
63	16852	246473
64	17122	246297
65	17400	246247
66	17666	246010
67	17928	245726
68	18201	245581
69	18469	245382
70	18769	245584
71	18957	244344
72	19243	244361
73	19493	243934
74	19768	243816
75	20049	243762
76	20310	243464
77	20575	243211
78	20843	242996
79	21140	243121
80	21311	241791
81	21601	241833
82	21785	240686
83	22075	240732
84	22319	240260
85	22569	239864
86	22901	240335
87	23064	239030
88	23352	239035
89	23554	238160
90	23811	237855
91	24092	237783
92	24298	236979
93	24553	236657
94	24844	236674
95	25108	236434
96	25372	236202
97	25636	235961
98	25929	235985
99	26176	235586
100	26432	235277
101	26463	232984
102	26720	232701
103	26981	232457
104	27246	232247
105	27504	231975
106	27780	231852
107	28042	231608
108	28305	231378
109	28568	231148
110	28860	231140
111	29112	230818
112	29364	230497
113	29614	230163
114	29875	229908
115	30128	229597
116	30378	229269
117	30638	229011
118	30917	228894
119	31173	228608
120	31421	228263
121	31668	227912
122	31925	227634
123	32180	227342
124	32457	227203
125	32721	226976
126	32972	226653
127	33223	226332
128	33476	226031
129	33728	225722
130	34017	225657
131	34270	225351
132	34524	225060
133	34771	224717
134	35030	224451
135	35271	224076
136	35536	223852
137	35812	223698
138	36081	223497
139	36339	223228
140	36603	222995
141	36888	222889
142	37153	222658
143	37419	222436
144	37675	222153
145	37923	221823
146	38183	221566
147	38452	221364
148	38747	221303
149	39002	221014
150	39257	220726
151	39500	220373
152	39770	220167
153	40009	219790
154	40266	219519
155	40531	219287
156	40776	218947
157	41026	218634
158	41279	218339
159	41564	218213
160	41822	217946
161	42073	217637
162	42329	217359
163	42457	216431
164	42727	216227
165	43009	216082
166	43263	215799
167	43529	215573
168	43831	215528
169	44097	215298
170	44358	215045
171	44639	214893
172	44887	214576
173	45149	214331
